6970,4,530,557
489,2,331,581
3880,4,880,432
6624,2,841,272
7468,4,208,455
1807,4,544,375
5037,4,672,580
9772,5,397,617
9109,3,767,791
6281,5,769,127
7170,2,161,839
5045,4,847,446
317,5,916,685
9818,3,899,794
3197,2,386,685
9006,4,368,141
2195,2,33,190
4966,3,428,657
7357,4,662,186
2089,3,602,207
3126,5,826,241
6469,4,212,345
1045,5,646,361
8711,4,89,348
1400,3,471,599
8710,4,527,461
6966,4,835,350
308,2,538,296
4764,5,694,527
6961,4,50,575
9120,2,7,499
801,3,2,715
6394,4,385,713
7401,3,125,815
8379,2,693,422
3397,2,58,670
7572,2,906,527
134,3,547,135
9603,2,823,108
6902,2,103,651
3543,2,963,960
6651,5,929,947
6872,3,866,807
9540,3,198,773
4577,5,172,563
2824,4,570,945
8797,5,973,387
7367,3,633,401
374,5,710,549
2576,4,226,244
5795,2,807,677
2713,2,321,235
9286,2,83,494
3094,4,283,512
5843,4,268,825
7181,4,255,210
7557,4,788,505
2901,5,238,655
598,3,494,843
299,3,120,483
2372,5,476,438
4968,2,446,742
3834,3,5,419
1245,5,687,504
7523,2,958,836
8483,5,67,419
772,3,716,274
2692,3,931,311
4647,2,552,124
8243,3,734,754
4203,4,258,154
4385,4,580,930
699,3,948,293
2114,4,8,108
3288,5,684,649
4992,2,369,171
1448,5,516,293
4009,4,231,217
1043,2,744,676
6111,5,203,151
6021,5,409,142
4280,2,910,760
9630,5,555,548
8946,5,610,864
7078,5,274,745
6932,2,134,496
6262,5,124,450
6409,5,605,818
7152,5,178,199
5171,2,727,359
8956,3,323,635
5544,3,300,215
9244,2,492,785
162,3,264,115
4544,4,757,976
2297,5,370,408
2764,5,269,561
5777,3,616,517
5889,4,413,824
382,2,243,362
3934,3,579,988
4338,5,540,488
7187,4,546,808
8644,3,586,898
1001,3,123,250
8162,3,415,765
7965,3,293,790
6208,5,745,622
2227,2,166,465
8462,2,220,922
623,2,60,176
7685,2,615,555
834,2,393,597
2977,3,905,886
3498,4,70,404
4858,2,153,318
3661,3,230,605
4043,2,250,341
90,3,982,864
9130,4,342,617
8995,2,587,773
4946,3,35,858
6240,3,553,315
3237,5,310,926
4830,4,301,282
7846,5,447,183
907,4,98,952
7010,5,11,482
5413,5,334,501
2014,4,501,196
2509,3,282,215
3178,4,365,416
9291,3,455,888
3800,2,482,583
3275,5,99,427
8691,5,833,943
3904,2,82,501
4777,4,31,238
4022,4,15,789
9390,5,366,462
1341,3,808,494
8111,3,864,649
927,5,930,246
2450,3,918,585
9998,3,770,151
5992,5,849,585
6914,3,57,814
7435,5,40,186
2740,4,670,284
1900,3,724,909
8524,3,627,987
2300,2,751,938
1049,4,487,512
7609,5,685,581
8239,5,822,593
6087,3,854,795
4641,5,496,914
7606,4,772,908
213,4,433,277
5696,4,383,377
3321,3,668,430
8222,3,776,266
284,4,706,125
8425,5,348,537
2412,4,382,959
7027,4,292,603
624,4,624,708
1600,2,485,356
3082,5,519,557
4344,5,595,848
6470,3,939,853
3154,4,725,634
6942,5,732,788
9503,5,867,774
2353,5,387,268
4231,3,512,329
9491,3,204,974
1535,2,73,140
676,2,173,558
8685,3,775,257
4832,4,72,803
5940,2,912,467
8863,5,474,1000
9888,4,792,944
7362,3,515,683
14,2,861,440
9030,2,232,504
9070,2,972,278
2972,2,288,766
880,2,249,823
3201,5,702,677
1186,5,970,241
312,4,761,940
4107,4,121,940
2349,3,247,584
9606,5,389,889
5064,5,90,331
6435,4,154,252
5115,4,245,589
5304,2,661,356
