9351,5,499,259
6341,5,627,402
2568,4,31,977
4689,2,288,532
4911,4,426,624
4270,4,686,900
5664,4,552,148
1964,2,375,917
3823,4,494,662
8455,3,293,400
359,3,32,930
6196,2,699,292
505,3,171,970
2118,3,304,870
3805,5,256,456
6194,5,459,350
9801,3,89,320
6710,2,570,410
3312,3,883,710
1011,2,925,379
5138,5,897,159
2027,4,99,956
1070,3,232,788
4656,4,780,480
2373,2,150,751
9009,3,34,737
2430,5,943,217
6157,4,12,974
9253,5,932,764
859,4,945,984
4258,2,676,299
9416,3,344,856
5981,3,50,994
797,4,287,699
1793,4,373,839
2342,3,667,280
9367,2,145,709
7617,2,953,731
8253,3,35,603
2716,3,481,523
923,3,79,404
4025,5,469,467
1787,4,785,537
7080,4,67,275
2362,5,108,669
230,2,620,493
7214,5,818,198
7542,3,497,498
3799,2,365,742
9843,3,45,296
2157,5,682,671
1709,2,868,639
4207,2,257,137
3504,4,533,755
1849,3,397,919
5311,3,795,453
5663,3,750,877
8051,5,407,382
2128,5,77,499
9470,5,417,484
8776,4,0,926
8056,3,178,561
9015,2,961,857
184,5,93,134
9449,3,936,369
4758,3,624,953
289,3,318,646
704,4,998,728
4569,5,969,900
9874,4,654,248
9740,5,727,145
2604,5,259,653
3084,4,845,910
5815,4,566,966
865,5,904,338
49,2,290,260
7994,3,84,418
9072,3,638,951
2877,3,714,382
1944,5,612,855
5902,3,76,954
3476,3,798,467
3765,5,595,653
3109,3,360,238
6530,3,805,627
5331,5,603,518
7147,2,476,467
1639,4,335,813
7821,2,662,165
6459,3,808,781
2959,5,172,308
9242,4,984,182
3586,3,641,992
6050,3,219,760
4422,5,486,407
2799,2,147,323
8401,5,90,824
6322,2,949,277
7086,5,242,498
600,4,607,203
5986,5,613,778
2960,2,300,110
6711,4,218,155
5868,3,619,550
3750,2,507,276
3368,4,812,948
1846,4,775,923
2787,5,947,765
5283,2,367,315
9678,4,82,348
4514,2,575,595
934,4,496,151
1394,2,854,887
4170,5,962,843
7748,4,142,437
1802,2,594,441
518,5,212,426
5834,2,209,941
8969,4,707,577
3316,4,455,934
4151,5,879,111
5225,3,46,403
7313,5,898,624
559,2,37,997
1859,3,129,199
529,2,920,889
6068,5,997,235
2578,2,483,133
6806,3,86,202
6168,3,744,301
9922,4,684,775
3444,2,578,534
6906,5,510,307
6463,3,889,823
7449,5,479,852
2998,2,429,241
324,3,376,980
2666,2,618,781
7738,4,710,801
6609,5,297,854
4828,5,628,159
4623,5,452,149
5825,4,942,542
9943,4,180,397
8733,3,605,173
5651,3,939,296
7261,3,919,301
4960,5,958,610
6150,3,964,750
4150,3,679,734
6266,2,521,191
226,2,274,620
5254,5,5,160
1122,3,416,304
9959,5,800,550
8380,4,305,214
3326,2,306,768
9824,5,280,197
9719,3,777,488
6567,4,251,904
9394,5,914,781
5420,3,159,209
2017,5,511,430
2328,5,473,805
9687,5,817,374
2464,5,137,375
2609,3,310,568
4841,4,283,139
706,5,771,671
3283,2,967,177
4324,5,229,952
8434,2,847,174
2431,2,689,828
6590,3,327,793
8032,2,148,976
9492,5,480,630
3988,5,574,761
715,5,788,690
1270,3,921,849
7535,4,71,544
7422,4,912,280
4483,4,691,386
5547,5,981,815
3308,3,934,197
2175,3,754,297
3667,3,588,277
4779,2,544,521
6485,2,457,297
79,5,135,321
4526,4,474,920
7451,3,40,584
9310,2,195,392
3641,5,354,666
2133,5,110,671
1984,3,10,568
9396,5,586,120
3868,4,75,192
7372,4,162,962
7604,3,319,136
2772,3,95,646
